-9.4328e-07+3.4022e-20i,-1.1681e-06-1.2683e-20i
-4.9727e-07-2.2037e-20i,-1.1824e-06-3.9053e-20i
-5.2853e-07+2.7066e-20i,-1.3378e-06+8.406e-20i
7.7749e-07-2.8444e-20i,-1.2992e-06-9.9265e-20i
-3.254e-06+1.7148e-20i,-1.4252e-06-1.4261e-20i
-3.2616e-07-1.5774e-20i,-4.0275e-07+1.8546e-21i
1.5344e-05-1.8075e-20i,1.5022e-05-2.4594e-20i
-1.3337e-05-3.7113e-21i,-9.206e-06+3.1604e-21i
-1.51e-05+2.5e-20i,8.3824e-07+1.2612e-20i
-9.5204e-06+1.4106e-20i,-1.4034e-05-4.7078e-20i
-3.942e-06-1.9794e-20i,-9.1315e-06+8.743e-20i
-1.7121e-05-2.5635e-20i,-2.626e-05+1.7148e-20i
